MeltCurveTemperature,Cartridge 1 Channel 1, Cartridge 1 Channel 2, Cartridge 1 Channel 3, Cartridge 2 Channel 2, Cartridge 2 Channel 3, Cartridge 2 Channel 4,Cartridge 3 Channel 1, Cartridge 3 Channel 2, Cartridge 3 Channel 3, Cartridge 3 Channel 4,Cartridge 4 Channel 1, Cartridge 4 Channel 2, Cartridge 4 Channel 3, Cartridge 4 Channel 4,Cartridge 5 Channel 1, Cartridge 5 Channel 2, Cartridge 5 Channel 3, Cartridge 5 Channel 4,Cartridge 6 Channel 1, Cartridge 6 Channel 2, Cartridge 6 Channel 3, Cartridge 6 Channel 4
56.87599945,-6579627,-1141685,-923649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57.08399963,-6577541,-1126805,-915954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57.27600098,-6488419,-1150094,-916507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57.52199936,-6627379,-1119669,-923302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57.74000168,-6560657,-1133851,-921249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57.92200089,-6586687,-1121738,-901539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58.12900162,-6584596,-1118534,-922937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58.39400101,-6528608,-1143096,-916150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58.58599854,-6527552,-1128183,-912777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58.80899811,-6650996,-1121815,-926355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59.01800156,-6555464,-1119945,-927090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59.21099854,-6612370,-1123866,-930131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59.45600128,-6599891,-1143465,-922274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59.67599869,-6542796,-1131584,-921716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59.85499954,-6538642,-1146357,-928157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60.06100082,-6633938,-1112866,-908693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60.3219986,-6600510,-1117525,-915938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60.53900146,-6608656,-1122369,-916630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60.73199844,-6598628,-1125626,-921993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60.95199966,-6585512,-1115338,-929140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61.14500046,-6517295,-1120982,-928056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61.61199951,-6613983,-1117046,-917532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61.77899933,-6613997,-1123961,-916005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,-6533298,-1105699,-923324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62.26599884,-6571800,-1129453,-929920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62.47299957,-6518589,-1135992,-932838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62.67200089,-6495643,-1122242,-919827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62.88700104,-6592580,-1115259,-918307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63.08100128,-6571559,-1126012,-917019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63.28499985,-6545272,-1116788,-913740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63.54600143,-6517733,-1126824,-921702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63.77899933,-6535429,-1140059,-928416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63.9469986,-6431036,-1124955,-909746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64.16200256,-6505268,-1114710,-913614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64.43499756,-6433607,-1115610,-905538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64.58699799,-6593409,-1116606,-918348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64.83300018,-6499600,-1128451,-926674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65.04199982,-6412317,-1130398,-918668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65.25900269,-6415432,-1136217,-911608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65.47599792,-6536775,-1116777,-923515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65.70500183,-6438540,-1112127,-924114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65.8809967,-6462571,-1117047,-929981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66.09100342,-6462365,-1131559,-922238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66.29599762,-6456754,-1112012,-912189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66.52600098,-6361296,-1126854,-915831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66.76799774,-6432809,-1132894,-920178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66.97399902,-6434068,-1111259,-915149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67.15599823,-6436062,-1124084,-923598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67.43199921,-6412902,-1117602,-914021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67.61499786,-6406381,-1122870,-919930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
